Time,Utilization (%)
2024-01-23 20:23:13,0.4791
2024-01-23 20:22:13,0.4665
2024-01-23 20:21:13,0.4784
2024-01-23 20:20:13,0.4826
2024-01-23 20:19:13,0.4967
2024-01-23 20:18:13,0.4713
2024-01-23 20:17:13,0.4836
2024-01-23 20:16:13,0.4728
2024-01-23 20:15:13,0.4981
2024-01-23 20:14:13,0.4725
2024-01-23 20:13:13,0.4803
2024-01-23 20:12:13,0.4796
2024-01-23 20:11:13,0.4793
2024-01-23 20:10:13,0.4769
2024-01-23 20:09:13,0.4946
2024-01-23 20:08:13,0.4806
2024-01-23 20:07:13,0.4894
2024-01-23 20:06:13,0.4866
2024-01-23 20:05:13,0.4883
2024-01-23 20:04:13,0.4801
2024-01-23 20:03:13,0.5461
2024-01-23 20:02:13,0.4864
2024-01-23 20:01:13,0.4951
2024-01-23 20:00:13,0.4724
2024-01-23 19:59:13,0.4809
2024-01-23 19:58:13,0.4702
2024-01-23 19:57:13,0.4800
2024-01-23 19:56:13,0.4691
2024-01-23 19:55:13,0.4769
2024-01-23 19:54:13,0.4662
2024-01-23 19:53:13,0.4791
2024-01-23 19:52:13,0.4666
2024-01-23 19:51:13,0.4806
2024-01-23 19:50:13,0.4756
2024-01-23 19:49:13,0.4786
2024-01-23 19:48:13,0.4720
2024-01-23 19:46:13,0.4704
2024-01-23 19:45:13,0.4774
2024-01-23 19:44:13,0.4635
2024-01-23 19:43:13,0.4822
2024-01-23 19:42:13,0.4786
2024-01-23 19:41:13,0.4752
2024-01-23 19:40:13,0.4674
2024-01-23 19:39:13,0.4788
2024-01-23 19:38:13,0.4732
2024-01-23 19:37:13,0.4779
2024-01-23 19:36:13,0.4742
2024-01-23 19:35:13,0.4905
2024-01-23 19:34:13,0.4768
2024-01-23 19:33:13,0.4809
2024-01-23 19:32:13,0.4722
2024-01-23 19:31:13,0.4779
2024-01-23 19:30:13,0.4789
2024-01-23 19:29:13,0.4739
2024-01-23 19:28:13,0.4740
2024-01-23 19:27:13,0.4920
2024-01-23 19:26:13,0.4737
2024-01-23 19:25:13,0.4820
2024-01-23 19:24:13,0.4712
2024-01-23 19:23:13,0.4760
2024-01-23 19:22:13,0.4638
2024-01-23 19:21:13,0.4769
2024-01-23 19:20:13,0.4683
2024-01-23 19:19:13,0.4722
2024-01-23 19:18:13,0.4733
2024-01-23 19:17:13,0.4759
2024-01-23 19:16:13,0.4706
2024-01-23 19:15:13,0.4800
2024-01-23 19:14:13,0.4773
2024-01-23 19:13:13,0.4912
2024-01-23 19:12:13,0.4754
2024-01-23 19:11:13,0.4790
2024-01-23 19:10:13,0.4760
2024-01-23 19:09:13,0.4815
2024-01-23 19:08:13,0.4724
2024-01-23 19:07:13,0.4874
2024-01-23 19:06:13,0.4775
2024-01-23 19:05:13,0.4885
2024-01-23 19:04:13,0.4795
2024-01-23 19:03:13,0.4911
2024-01-23 19:02:13,0.4818
2024-01-23 19:01:13,0.4866
2024-01-23 19:00:13,0.4706
2024-01-23 18:59:13,0.5699
2024-01-23 18:58:13,0.4778
2024-01-23 18:57:13,0.4822
2024-01-23 18:56:13,0.4790
2024-01-23 18:55:13,0.5011
2024-01-23 18:54:13,0.4766
2024-01-23 18:53:13,0.4742
2024-01-23 18:52:13,0.4700
2024-01-23 18:51:13,0.4710
2024-01-23 18:50:13,0.4665
2024-01-23 18:49:13,0.4716
2024-01-23 18:48:13,0.4633
2024-01-23 18:47:13,0.4752
2024-01-23 18:46:13,0.4768
2024-01-23 18:45:13,0.4806
2024-01-23 18:44:13,0.4725
2024-01-23 18:43:13,0.4738
2024-01-23 18:42:13,0.4693
2024-01-23 18:41:13,0.4804
2024-01-23 18:40:13,0.4730
2024-01-23 18:39:13,0.4768
2024-01-23 18:38:13,0.4746
2024-01-23 18:37:13,0.4829
2024-01-23 18:36:13,0.4781
2024-01-23 18:35:13,0.4742
2024-01-23 18:34:13,0.4785
2024-01-23 18:33:13,0.4851
2024-01-23 18:32:13,0.4799
2024-01-23 18:31:13,0.4802
2024-01-23 18:30:13,0.4832
2024-01-23 18:29:13,0.4732
2024-01-23 18:28:13,0.4686
2024-01-23 18:27:13,0.4781
2024-01-23 18:26:13,0.4727
